"obj_ID","alpha","delta","u","g","r","i","z","run_ID","rerun_ID","cam_col","field_ID","spec_obj_ID","class","redshift","plate","MJD","fiber_ID"
1237679008780648704,341.405504322965,8.5783592730837,19.9276,18.16381,17.06835,16.56405,16.16184,7808,301,2,84,5696147085138876416,"GALAXY",0.1418661,5059,56190,798
1237678857933750528,357.730675041457,11.3907025488532,21.31802,21.14918,21.06537,20.85919,20.7121,7773,301,1,295,12999779555032193024,"QSO",1.942943,11546,58488,506
1237659154217631744,246.122673616548,35.1082062012699,20.76552,20.74977,20.81548,20.50528,20.86766,3185,301,4,39,12077538883585464320,"QSO",1.88962,10727,58197,38
1237661150842192128,197.532784560448,48.9841016849487,23.29459,21.82885,20.12599,19.10921,18.81542,3650,301,3,64,7603369029156493312,"GALAXY",0.5099247,6753,56399,607
1237662195603603712,195.327424748775,42.8109005760959,22.92567,21.65787,20.03059,19.57382,19.39124,3893,301,5,226,1641713024475621376,"GALAXY",0.4178358,1458,53119,549
1237658199123624192,126.916831698924,30.9772710987651,19.47264,17.61016,16.82478,16.52191,16.32555,2963,301,1,29,3582648768945823744,"STAR",0.0001985597,3182,54828,128
1237651539783647232,170.627946000152,67.5218929313198,19.66563,18.67489,18.38132,18.28293,18.25801,1412,301,5,133,3234839425678600192,"STAR",-0.0003644282,2873,54505,469
1237657627897102848,123.687730016286,30.5444423434785,25.04324,20.77348,18.93686,18.25938,17.82823,2830,301,1,92,5006953669645850624,"GALAXY",0.3497963,4447,55542,279
1237652946917982208,6.89771284899039,-10.614379756593,20.05447,19.14985,18.90808,18.79937,18.84551,1740,301,2,67,2153863345059424256,"STAR",0.0001507955,1913,53321,61
1237667541752742656,147.750412820617,20.3580479569711,26.12008,22.48785,20.42395,19.06964,18.51732,5138,301,3,52,6510103175051368448,"GALAXY",0.6508033,5782,56272,545
1237659324416656128,241.713065059903,42.2584273532386,24.18149,22.46671,NA,19.73665,19.20854,3225,301,1,206,6805082900276729856,"GALAXY",0.5874383,6044,NA,523
1237659326022942720,232.625021020542,49.945944672949,17.86613,16.934,16.67611,16.59554,16.53613,3225,301,4,140,2757478202216572928,"STAR",-0.001670896,2449,54271,543
1237678661422482176,356.556098091038,4.61636798826472,23.3749,NA,21.03017,19.86675,19.45805,7727,301,3,43,4960773636825044992,"GALAXY",0.6292132,4406,55858,213
1237650371013248000,167.289398098265,-1.97124725142976,25.18689,22.66489,20.54626,19.51029,19.13305,1140,301,4,96,4265044449942591488,"GALAXY",0.5001343,3788,55246,493
1237662198811853312,207.878405852778,11.1968294787372,24.16954,21.82331,21.40239,21.27288,21.34838,3894,301,3,28,6130685621902268416,"GALAXY",0.143739,5445,55987,584
1237673701282546176,42.8907738610877,-2.68856711603074,24.21916,22.4625,22.57349,21.60099,21.30868,6572,301,4,202,10484509530607867904,"GALAXY",0.8243872,9312,57784,471
1237663783660945408,0.91709971354819,-0.28029820590543,18.06847,17.02695,16.6761,16.38305,16.22631,4263,301,3,122,435744459594950656,"GALAXY",0.06132872,387,51791,77
1237678619572372224,16.164350423502,3.05769326358664,23.50993,22.54079,20.94234,19.7655,19.34329,7717,301,5,437,4851584430069012480,"GALAXY",0.6097172,4309,NA,297
1237662307259842560,205.532837520866,41.1523544213654,20.21995,18.41252,17.13763,16.59915,16.23453,3919,301,5,29,1550456032113747968,"GALAXY",0.2226385,1377,53050,334
1237663479263724288,344.66762415963,0.148979766846615,22.70573,21.52779,21.45337,21.43242,20.62723,4192,301,4,253,4735808878364874752,"QSO",2.484834,4206,55471,996
1237679478012445440,13.0563512473002,22.5277993921012,22.01805,21.76006,20.81411,19.86133,19.50564,7917,301,4,185,6417798623690774528,"GALAXY",0.6812555,5700,56245,615
1237663782595396352,19.6861393017446,NA,26.21853,22.20581,20.6914,19.5611,18.95572,4263,301,1,247,4901271085717411840,"GALAXY",0.5760778,4353,NA,832
1237651539251954432,201.754033416699,67.0316383656223,25.50579,22.53679,20.74512,19.61757,19.04243,1412,301,4,212,7684420083888969728,"GALAXY",0.5907118,6825,56717,557
1237661849869025536,215.980727878655,39.6605842374961,22.09364,22.26576,22.02092,21.57013,22.13123,3813,301,1,383,12105763351952644096,"GALAXY",0.4256164,10752,NA,318
1237665129613689600,173.667756128141,35.5226507061689,26.22294,21.97973,20.51513,19.63308,19.09422,4576,301,6,387,5196089187229784064,"GALAXY",0.5155312,4615,55618,222
1237680529740661504,344.481254593248,28.3617392176251,21.08435,21.16263,20.72088,20.72705,20.63628,8162,301,3,156,8746002160293271552,"QSO",1.346127,7768,58289,42
1237661361843601664,227.553219370206,38.799154279107,22.56092,20.69462,18.93073,18.31929,17.89707,3699,301,4,234,5817583194544035840,"GALAXY",0.3531599,5167,56066,212
1237661361296310784,196.653132021545,46.5607236379096,23.86511,22.58995,21.18856,20.18741,19.47779,3699,301,3,75,8347619110004480000,"GALAXY",0.5745693,7414,56748,717
1237661362368938240,193.220215078263,47.7102306025229,23.39813,20.69823,19.3609,18.13265,17.52647,3699,301,5,58,3791021068668477440,"STAR",-1.773631e-06,3367,54998,422
1237680327337509888,336.661732671246,28.5922794061112,22.15453,22.44037,NA,21.93059,20.97067,8115,301,2,113,8614398029498439680,"QSO",1.278001,7651,57654,501
1237665570365112832,245.178686441677,53.5872884329794,20.4983,20.26077,20.15188,20.13542,20.08959,4679,301,3,88,9077232786302326784,"QSO",1.349191,8062,58251,828
1237657629506928896,121.2402892094,30.0175150444953,18.79726,17.97487,17.74836,17.51525,17.37118,2830,301,4,80,968406175064287232,"GALAXY",0.03974274,860,52319,481
1237679254675391232,43.438300036675,-3.59919476932954,22.33014,22.30733,22.07335,21.67342,21.5029,7865,301,4,204,8807971988029331456,"QSO",1.389525,7823,56978,207
1237660962399716352,131.251405470711,30.9835577071151,24.43618,23.06701,NA,21.57861,21.68106,3606,301,4,52,11744388783508051968,"GALAXY",0.7807024,10431,58137,461
1237661418743268096,188.732064900232,58.4308782687093,23.28488,21.88073,20.39182,19.25453,18.69847,3712,301,6,102,7696798930953328640,"GALAXY",0.6023103,6836,56443,535
1237660764830827264,116.356879449368,20.180549529807,21.01649,20.98901,20.72048,20.62465,21.25643,3560,301,4,46,12477295478139279360,"QSO",1.326629,11082,58508,264
1237661970648924928,185.532416765292,6.79342287151668,24.69483,21.29793,19.85703,19.48688,19.3806,3841,301,2,138,6076564360326830080,"QSO",4.124791,5397,55944,300
1237658311330431232,184.777580224939,59.4911355269887,19.45138,18.87692,18.51157,18.44064,18.26196,2989,301,2,41,1075263313631275008,"QSO",1.000654,955,52409,105
1237662305124745216,236.531111475697,28.4160001242458,16.79605,15.66725,15.21664,14.91389,14.69822,3919,301,1,218,1861265437417826304,"GALAXY",0.03349765,1653,53534,556
1237661361841897728,223.211911571708,NA,19.94085,18.18117,17.17754,16.75606,16.42237,3699,301,4,208,1572903112908236800,"GALAXY",0.1562323,1397,53119,76
1237665127455653888,146.548374596755,28.0176007046044,19.90471,18.0594,17.08856,16.63942,16.28847,4576,301,2,226,2192206615900350464,"GALAXY",0.09853415,1947,NA,289
1237662263773757440,200.675575546524,9.72619781926534,20.15953,18.34748,17.41815,16.99536,16.66088,3909,301,4,36,2026721602305026048,"GALAXY",0.1063284,1800,53884,370
1237662337333395968,249.395058447829,25.8381548041449,18.81252,16.91582,16.05551,15.65944,15.34754,3926,301,5,163,1586414731474790400,"GALAXY",0.0495961,1409,52824,79
1237659324948676864,230.068074301664,49.9611093201863,20.26822,19.2694,18.78982,18.57718,18.48787,3225,301,2,132,2774316398179018752,"STAR",-0.0005872726,2464,54272,360
1237655504569304320,253.696006275318,40.0409685708267,23.45082,NA,20.37278,19.18491,18.70715,2335,301,6,41,5840281237844154368,"GALAXY",0.6741326,5187,56074,867
1237669766547833088,10.2351405313782,7.21344397748097,22.27075,22.0739,21.8717,21.74692,21.31946,5656,301,3,83,12436734492345128960,"QSO",1.628261,11046,58398,160
1237657609109176320,124.548611918278,39.1691761292705,18.59859,17.24648,16.70319,16.50547,16.52025,2825,301,6,131,3550037803184267264,"GALAXY",0,3153,54790,274
1237667781739938304,134.760793775685,14.1506896895642,23.80103,22.26055,20.64882,19.74636,19.39479,5194,301,2,142,5961720371376052224,"GALAXY",0.5494178,5295,55978,292
1237678596469163264,335.511874973402,1.64590602089851,25.50131,22.92196,22.55234,21.19552,19.98282,7712,301,2,166,10322486051642562560,"GALAXY",0.8321748,9168,58067,857
1237673705043788544,122.572196865914,42.0662002118234,23.37184,22.47656,20.88707,18.85379,17.77221,6573,301,3,250,614792238542645248,"STAR",-0.0002294,546,52205,185
1237661463848288512,254.113000090078,20.5453175967263,18.9366,17.6829,17.60557,17.60084,17.61515,3723,301,2,222,1765576583596238848,"STAR",8.830563e-05,1568,53169,602
1237668333111476224,242.679414319174,10.2601681959374,19.44381,18.25515,17.92045,17.5367,17.40911,5322,301,5,220,2844184320011167744,"GALAXY",0.1309702,2526,54582,586
1237678618509115904,40.1417362787383,NA,21.55572,21.39615,21.18521,21.13649,21.02456,7717,301,3,597,8809043192332965888,"QSO",2.17237,7824,57282,8
1237670457504170240,39.8411001482545,26.9569810419832,19.80304,18.0518,17.24122,16.89352,16.69765,5817,301,2,136,3555620848419315712,"STAR",-0.0003562262,3158,54794,105
1237667209987359488,171.536415103992,28.0661323019585,22.6954,22.65649,20.50434,19.50431,19.26986,5061,301,1,370,7216056435985373184,"GALAXY",0.5733035,6409,56306,596
1237658187855627008,93.7268767761646,0.167659945184841,17.4989,16.04545,NA,15.83416,15.79625,2960,301,4,125,1417585547458668544,"STAR",0.0001864939,1259,NA,282
1237669517979615232,2.11712820148347,7.66376143788697,17.82389,16.75859,16.30879,16.13584,16.07477,5598,301,4,129,12733034184836405248,"STAR",-0.0003251844,11309,58428,844
1237668294984729088,171.759522070997,20.3880603129845,23.62146,21.71093,20.40531,19.58015,18.94798,5313,301,6,84,7239566468370946048,"GALAXY",0.5102856,6430,56299,109
1237654604254085376,164.962836950587,3.7608815541495,21.9836,20.21607,19.91055,20.01054,20.11471,2126,301,1,305,5371776856847833088,"QSO",3.140653,4771,55925,394
1237663479261954816,340.636415762845,0.206781731649505,22.48322,22.24365,21.65047,21.56478,20.87878,4192,301,4,226,10302192090248140800,"QSO",0.9137844,9150,58043,756
1237663478724100864,338.317014519486,-0.379726014836498,25.74044,22.11803,21.19496,20.72423,20.2649,4192,301,3,211,10301047498576517120,"QSO",0.901769,9149,58039,688
1237659326033101568,253.517899197022,NA,24.96811,21.69587,20.53668,19.8119,19.84857,3225,301,4,295,1324183131841914880,"GALAXY",0.7973922,1176,52791,454
1237653587408192256,122.232976567036,40.7040872458519,22.71143,24.69043,21.53244,20.24502,19.53085,1889,301,3,116,9336019050965522432,"GALAXY",0.6712182,8292,57373,207
1237680275263980032,10.3932718515363,26.3419402732328,26.53231,22.33608,NA,19.88268,19.47476,8103,301,1,158,7077562775900542976,"GALAXY",0.4922416,6286,56301,567
1237657608034976000,124.456848871819,37.8187248785462,20.5209,19.03228,18.3036,17.97352,17.82948,2825,301,4,124,3010703698633451520,"STAR",9.862561e-05,2674,54097,172
1237661357539262720,167.799376912449,46.3589682493711,25.97069,24.11578,21.60042,20.24343,19.63383,3698,301,4,91,7527893053300037632,"GALAXY",0.6838515,6686,56389,459
1237660241925111808,51.9164316373405,0.999243755783277,18.95466,16.96484,16.16041,15.85279,15.73539,3438,301,6,146,1198103504284051456,"STAR",-8.33799e-05,1064,52577,531
1237654606406681600,176.61545280106,NA,22.07517,22.67917,20.5742,19.49456,19.00116,2126,301,5,383,5458436240683849728,"GALAXY",0.5583482,4848,55955,267
1237655347812237568,221.141574080054,56.5976687763771,20.17812,20.19845,19.81348,19.5585,19.46826,2299,301,2,182,7656138715342067712,"QSO",1.477166,6800,56399,70
1237670964856684800,158.876915687401,NA,24.3019,22.52776,20.30417,19.40024,19.04552,5935,301,3,281,6625988398124652544,"GALAXY",0.5250507,5885,56036,245
1237669701047943680,9.31596434969617,6.62566580512831,26.81522,23.43221,21.96814,20.5726,19.8681,5641,301,1,58,9849634484567431168,"GALAXY",0.7768076,8748,58396,953
1237678617421153024,7.57710148148948,1.2499648980268,22.89228,22.69461,20.49364,19.37318,18.76277,7717,301,1,380,4751545913012672512,"GALAXY",0.620786,4220,55447,903
1237667211046944768,136.785335400549,20.6084465225251,21.67338,NA,19.22022,18.41342,18.18481,5061,301,3,154,6498799641248946176,"QSO",0.4738167,5772,56003,383
1237678854694962688,317.350738151281,6.67972216833312,21.75771,NA,20.27072,19.5173,19.10663,7772,301,3,27,4592615903854876672,"GALAXY",0.1854058,4079,55363,255
1237661361837572096,210.694899829725,44.5936835028885,19.06582,17.25153,16.40944,16.06056,15.76619,3699,301,4,142,1651813962854983680,"GALAXY",0.05874074,1467,53115,432
1237658310795198464,192.14294068962,58.8377968822598,14.80675,13.71093,13.37729,13.29089,13.26307,2989,301,1,66,2770900220551129088,"STAR",-6.475644e-05,2461,54570,220
1237666338114503424,14.8849798806301,-1.01344903443322,24.83643,22.84536,NA,20.67007,19.86469,4858,301,1,454,8864373091763247104,"GALAXY",0.7630097,7873,57307,593
1237672763366310912,344.858761783718,24.7319947110135,26.1577,NA,21.47474,20.30135,19.7257,6354,301,1,160,7417664816058488832,"GALAXY",0.5673881,6588,56536,859
1237659324420587776,249.319855517498,35.3851011878563,22.06706,20.91984,20.43293,20.23357,20.05593,3225,301,1,266,5851437153570281472,"STAR",-0.001142042,5197,55828,492
1237652943157330688,318.134336877774,10.3058910036077,23.79738,20.99035,19.56532,18.71222,18.17574,1739,301,3,28,2129141649350092800,"STAR",-0.000267151,1891,53238,236
1237680245732409856,340.159315756218,17.7509431723139,25.17067,21.94096,20.31899,19.43283,18.89897,8096,301,2,102,5665761256973555712,"GALAXY",0.4577762,5032,56208,847
1237652947997032704,19.1593687429481,-9.47637504918394,19.35612,19.21816,18.88713,18.90856,18.89496,1740,301,4,148,743231139115722752,"QSO",1.119302,660,52177,499
1237667430100107776,155.620018634999,24.2838903943207,22.81149,22.75416,21.85101,21.42361,20.67252,5112,301,3,304,10830245190901716992,"QSO",0.9046966,9619,57866,778
